timestamp,event,spotPrice,markPrice,fundingRate,funding_pnl_usd,funding_pnl_formula,basis_pnl_usd,basis_pnl_formula,total_pnl_usd
2024-01-02 00:00:00.000,Funding,,,0.00059009,0.0,,0.0,,0.0
2024-01-02 00:00:00.000,Close Position,45056.0,44240.13570534,,0.0,0.000000 * 45056.00 = 0.0000,20.198942809551298,(45056.00 - 44240.14) - (42725.15 - 42817.71) = 908.4241; 908.4241 * 0.022235 = 20.1989,20.198942809551298
2024-02-13 00:00:00.000,Funding,,,0.0001,0.0,,0.0,,0.0
2024-02-13 00:00:00.000,Close Position,50101.7,49965.17868378,,0.0,0.000000 * 50101.70 = 0.0000,10.825514644017064,(50101.70 - 49965.18) - (49582.33 - 49984.17) = 538.3570; 538.3570 * 0.020108 = 10.8255,10.825514644017064
2024-02-14 00:00:00.000,Funding,,,0.0001,0.0,,0.0,,0.0
2024-02-14 08:00:00.000,Funding,,,0.0001,0.0,,0.0,,0.0
2024-02-14 08:00:00.000,Close Position,50758.0,49889.9,,0.0,0.000000 * 50758.00 = 0.0000,24.006720806146006,(50758.00 - 49889.90) - (48477.07 - 48767.90) = 1158.9300; 1158.9300 * 0.020715 = 24.0067,24.006720806146006
2024-02-18 00:00:00.000,Funding,,,0.00030994,0.0,,0.0,,0.0
2024-02-18 00:00:00.000,Close Position,51676.95,51697.7,,0.0,0.000000 * 51676.95 = 0.0000,1.5099228371118496,(51676.95 - 51697.70) - (50951.25 - 51045.53) = 73.5251; 73.5251 * 0.020536 = 1.5099,1.5099228371118496
2024-02-19 16:00:00.000,Funding,,,0.00028146,0.0,,0.0,,0.0
2024-02-20 00:00:00.000,Funding,,,0.0001,0.0,,0.0,,0.0
2024-02-20 08:00:00.000,Funding,,,0.0003272,0.0,,0.0,,0.0
2024-02-20 16:00:00.000,Funding,,,0.00020029,0.0,,0.0,,0.0
2024-02-21 00:00:00.000,Funding,,,0.00018931,0.0,,0.0,,0.0
2024-02-21 08:00:00.000,Funding,,,0.0001,0.0,,0.0,,0.0
