Time,Spot,Perp,Funding,Z-Score,Basis Velocity,Position,Hold,Action,PnL,Cash
2024-01-07 08:00:00,44017.99,44092.48502784,0.0001,-0.649934861544385,-213.20502783999837,Cash,0,,0.0,1000.0
2024-01-07 16:00:00,43922.0,44066.54114564,0.0001,-0.8864207043892562,-70.04611780000414,Cash,0,,0.0,1000.0
2024-01-08 00:00:00,43632.0,43930.7,2.01e-06,-1.425096830674263,-154.1588543599937,Cash,0,,0.0,1000.0
2024-01-08 08:00:00,43868.53,43969.6,8.872e-05,-0.5718037341144809,197.62999999999738,Cash,0,,0.0,1000.0
2024-01-08 16:00:00,44940.3,44992.51294916,4.837e-05,-0.2869960929366554,48.85705084000074,Cash,0,,0.0,1000.0
2024-01-09 00:00:00,46668.88,46993.5,0.0001,-1.93667538771567,-272.40705084000365,Cash,0,,0.0,1000.0
2024-01-09 08:00:00,46544.65,46854.79216651,0.0001,-1.6174648150192361,14.477833490003832,mark_gt_spot,0,ENTER MARK_GT_SPOT,0.0,998.5
2024-01-09 16:00:00,46902.88,46872.0,0.0001,0.6467553617424491,341.02216650999617,mark_gt_spot,1,,0.09933807802325142,998.5
2024-01-10 00:00:00,45856.42,46128.36219372,0.0001,-1.2606704022449389,-302.82219371999963,mark_gt_spot,2,,0.09933807802325142,998.5
2024-01-10 08:00:00,45329.94,45779.29359803,0.0001,-2.0444289856315483,-177.41140430999803,mark_gt_spot,3,,0.09933807802325142,998.5
2024-01-10 16:00:00,45311.1,45560.26980578,0.0001,-0.7647750805415217,200.18379224999808,mark_gt_spot,4,,0.09933807802325142,998.5
2024-01-11 00:00:00,46670.01,46671.0286775,0.0001,0.7560884879833115,248.15112828000565,mark_gt_spot,5,,0.09933807802325142,998.5
2024-01-11 08:00:00,46277.0,46118.51901603,0.0001,1.5253545105622504,159.4996614699994,Cash,0,EXIT (max hold),-11.381233382637468,987.1187666173626
2024-01-11 16:00:00,46007.29,46789.02822718,0.0001,-2.781601894617599,-940.2192111500044,Cash,0,,0.0,987.1187666173626
